,System,Latitude,Longitude,Surface_Area_km2,Volume_km3,mg CH4-C m-2 d-1 Diffusive + Ebullitive,Trophic_Status,Mean_Depth_m,Age_yrs,Residence_Time_days,DAM_HGT_M,GRanD_ID,Installed Hydropower Capacity?,SA_epi_frac
0,Allatoona,34.14,-84.64,49.0,0.45,22.12,Mesotrophic,9.2,63.0,36.0,57.0,1862,yes,0.3050912640889862
1,Balbina,-1.92,-59.47,1770.0,17.5,36.1,Oligo_Meso,10.0,18.33,365.0,33.0,2363,yes,0.8552955014551074
2,Barra Bonita,-22.52,-48.58,324.0,4.0,15.67,Mesotrophic,11.1,41.67,30.0,33.0,2402,yes,0.495130086014756
3,Batang Ai,1.16,111.9,68.4,0.00236,8.8,Oligotrophic,34.0,35.0,0.93,85.0,0,,0.0
4,Cahora Bassa,-15.59,32.7,2675.0,52.0,1.4,Mesotrophic,20.9,38.0,314.0,162.0,0,yes,0.2984147068824241
5,Capivari,-25.14,-48.872,13.0,0.179,23.15,Eutrophic,14.0,50.0,103.0,45.0,0,,0.0
6,Cle Elum,47.28,-121.11,19.4,0.54,1.31,Oligotrophic,27.0,79.0,121.0,50.0,0,no,0.2234176601725308
7,Corumba,-17.98,-48.52,55.0,1.2,158.21,Eutrophic,21.8,8.0,40.0,90.0,0,yes,0.2110264400086385
8,Cos,45.555,5.962,0.15,0.0035,1.2,Oligotrophic,17.5,100.0,202.2,36.0,0,,0.0
9,Curua-Una,-2.82,-54.28,72.0,0.47,42.5,Eutrophic,6.9,22.0,29.0,24.5,2364,yes,0.7636704908927238
10,Douglas,35.96,-83.54,115.0,1.33,5.7,Mesotrophic,11.6,69.0,91.0,61.0,1781,yes,0.9520739910313901
11,Eastmain 1,51.5,-74.0,602.9,6.94,9.43,Oligo_Meso,11.0,2.5,69.0,35.0,0,yes,0.9848748115328405
12,Eguzon,46.45,1.61,2.7,0.0573,13.69863014,Eutrophic,18.0,90.0,22.0,58.0,0,,0.0
13,Fontana,35.45,-83.81,43.0,1.78,4.38,Mesotrophic,41.4,68.0,180.0,146.0,1801,yes,0.0
14,Foster,44.42,-122.62,4.9,0.08,41.7,Mesotrophic,15.2,44.0,30.0,38.0,85,yes,0.2562844880441447
15,Funil,-22.52,-44.55,27.0,0.5,57.6,Eutrophic,19.7,39.33,55.0,85.0,2546,yes,0.1796049422858072
16,Furnas,-20.67,-46.25,1342.0,20.7,21.7,Oligotrophic,15.4,44.0,503.0,127.0,2392,yes,0.1698056815964392
17,Gatun,9.23,-79.88,431.0,5.0,476.36,Eutrophic,12.4,85.0,365.0,31.0,1971,yes,0.5858457447002824
18,Grandes Patures,42.707,2.023,0.16,0.0018,24.0,Oligotrophic,9.0,71.0,11.3,18.0,0,,0.0
19,Grangent,45.468,4.247,3.81,0.0571,10.8,Eutrophic,15.7,63.0,23.7,47.0,0,,0.0
20,Guntersville,34.42,-86.39,279.0,1.26,14.33,Oligotrophic,4.5,73.0,14.0,29.0,1847,yes,0.6374043277237664
21,Hartwell,34.47,-82.85,226.0,3.15,17.09,Eutrophic,13.9,50.0,56.0,62.0,1851,yes,0.5145279719315279
22,Itaipu,-25.38,-54.55,1350.0,129.0,6.38,Oligotrophic,95.6,13.5,39.0,196.0,2432,yes,0.159266454151961
23,Itaparica,9.1,38.31,822.0,10.7,758.1,Mesotrophic,13.01703163,30.0,63.0,55.0,0,,0.0
24,Itumbiara,-18.4,-49.05,719.0,15.1,39.4,Oligo_Meso,21.0,25.0,146.0,110.0,2376,yes,0.2314279417783421
25,JC Boyle,42.13,-122.03,1.7,0.005200000000000001,360.76,Eutrophic,3.4,55.0,2.0,20.0,0,yes,0.0
26,Kariba,-17.0,28.0,5400.0,160.0,10.1,Oligotrophic,29.0,52.0,912.5,102.0,0,yes,0.3022747662048823
27,Laforge-1,54.2,-72.58,1288.0,8.0,13.0,Oligotrophic,6.2,6.0,96.0,57.0,1998,yes,0.3101117735042865
28,Lokka,67.82,27.73,417.0,2.1,103.58,Eutrophic,3.65,27.67,559.0,17.0,3690,yes,0.730858224125037
29,Lower Monumental,46.5623,-118.539,26.7,0.53,522.0,Meso_Eutrophic,19.8,51.0,6.0,30.5,0,,0.0
30,Manso,-14.87,-55.77,357.0,5.6,94.45,Eutrophic,15.7,5.5,430.0,60.0,2369,yes,0.2867507886435331
31,Maury,44.657,2.3,1.68,0.035,4.8,Oligotrophic,20.6,73.0,82.4,61.0,0,,0.0
32,Miranda,-18.92,-48.03,51.0,8.0,118.55,Mesotrophic,23.0,9.67,420.0,79.0,2379,yes,0.1792941176470588
33,Nam Leuk,18.45,102.95,13.0,0.19,58.8,Mesotrophic,14.0,10.0,127.75,45.0,5138,yes,0.2859420674993357
34,Nam Ngum,18.53,103.55,350.0,7.0,3.6,Mesotrophic,19.0,38.0,273.75,75.0,5136,yes,0.2955830379469296
35,Nam Theun 2,17.98,104.95,260.0,3.53,149.28,Mesotrophic,7.8,1.0,180.0,,0,yes,0.0
36,Nielisz,50.780222,22.991389,9.1,0.0206,458.568,Eutrophic,2.0,12.0,77.0,8.6,0,,0.0
37,Pampulha,-19.83,-43.97,1.96,0.00915,591.34,Eutrophic,5.08,75.0,19.0,21.0,0,no,0.948624962224237
38,Passouira,45.225,4.285,0.04,0.0004,1412.4,Oligotrophic,6.0,104.0,0.9,10.0,0,,0.0
39,Petit Saut,5.05,-53.03,365.0,3.5,22.23,Mesotrophic,9.6,10.0,180.0,47.0,2360,yes,0.4451332920024799
40,Polyfytos,40.297,22.09,37.5,2.244,42.3,Eutrophic,59.84,45.0,513.0822249,112.0,0,,0.0
41,Priest Rapids,46.64318,-119.9,31.3,0.293,560.8,Meso_Eutrophic,9.3,59.0,0.8,24.3,0,,0.0
42,Quinson,43.642,6.196,1.64,0.0194,8.4,Oligotrophic,10.2,46.0,11.8,38.0,0,,0.0
43,Robert-Bourassa (La Grande-2),53.67,-77.0,2835.0,61.7,5.0,Oligotrophic,21.8,21.4,207.0,168.0,1394,yes,0.1740799118048133
44,Saint Egreve,45.312,5.666,0.99,0.0051,27.6,Mesotrophic,4.7,38.0,0.3,9.0,0,,0.0
45,Segredo,-25.78,-52.1,82.0,3.0,6.59,Mesotrophic,36.6,12.67,47.0,140.0,2439,yes,0.0
46,Serra da Mesa,-13.85,-48.33,1784.0,54.4,72.47,Eutrophic,30.5,2.0,770.0,154.0,2368,yes,0.2351612676461378
47,Trablettes,46.397,5.666,0.03,0.0001,430.8,Eutrophic,0.8,104.0,0.2,6.0,0,,0.0
48,Tres Marias,-18.23,-45.25,1040.0,21.0,147.16,Mesotrophic,20.2,44.67,120.0,75.0,0,yes,0.3009555319973554
49,Tucurui,-3.92,-49.6,2430.0,46.0,55.08,Mesotrophic,18.9,17.0,51.0,86.0,2365,yes,0.5137217195277195
50,Villefranche,45.451,4.581,1.73,0.011,7.2,Oligotrophic,5.7,69.0,145.2,14.0,0,,0.0
51,Watts Bar,35.62,-84.78,176.0,1.4,5.65,Eutrophic,7.9,70.0,21.0,34.0,1797,yes,0.6389229092936238
52,Wohlen,46.97,7.28,2.5,0.02,293.5,Eutrophic,10.0,87.0,2.0,29.0,3308,yes,0.3878575012543904
53,Xingo,-9.62,-37.78,60.0,0.7,30.06,Oligotrophic,11.7,10.0,22.0,140.0,0,yes,0.0
